trial,eval,score,best_score,params
34,3,536.7969,553.0480,-0.0761;-0.0903;0.5241;0.6391;-0.7508;-0.0720;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6618
35,3,591.9247,591.9247,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6618
36,3,568.8575,591.9247,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-1.0000;0.1067;-0.7616;0.0970;-0.6618
37,3,571.9445,591.9247,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.1067;-0.6320;0.0970;-0.7215
38,3,569.0908,591.9247,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.9793;0.1067;-0.7616;0.0399;-0.6618
39,3,557.3413,591.9247,-0.2111;-0.0903;0.2975;0.7869;-0.6921;-0.0720;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6618
40,3,573.7247,591.9247,-0.2111;-0.1850;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6618
41,3,540.2311,591.9247,-0.2111;-0.0903;0.5241;0.7812;-1.0000;-0.0720;0.6611;-0.5098;0.1067;-0.7616;0.0970;-0.6618
42,3,440.6621,591.9247,-0.2111;0.3097;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6618
43,3,565.0817,591.9247,-0.2111;-0.0903;0.6552;0.7812;-0.6921;-0.0720;0.5229;-0.8067;0.1067;-0.7616;0.0970;-0.6618
44,3,557.8053,591.9247,-0.2111;-0.0903;0.6089;0.7812;-0.6921;-0.0720;0.6611;-0.7556;0.1067;-0.7616;0.0970;-0.6618
45,3,313.1414,591.9247,-0.2111;-0.8164;0.5241;0.7812;-0.6921;-0.1575;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6618
46,3,598.6447,598.6447,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.1067;-0.7616;0.0970;-0.6593
47,3,624.8918,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.6593
48,3,605.1058,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7588;0.3052;-0.6593
49,3,516.3030,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;0.1755;0.6611;-0.8067;0.0550;-0.7616;0.0970;-0.6593
50,3,575.8981,624.8918,-0.2111;-0.0903;0.5407;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.1579;-0.6593
51,3,578.9676,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2617;-0.7616;0.0970;-0.6593
52,3,611.6977,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0886;-0.6593
53,3,598.9732,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.6659;0.2267;-0.7616;0.0970;-0.6593
