trial,eval,score,best_score,params
171,3,876.2150,1055.8443,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5698;0.4691;-0.0794;-0.5053;-0.3779
172,3,911.6754,1055.8443,-0.0025;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.3779
173,3,1055.9572,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
174,3,831.6102,1055.9572,-0.0609;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4005;-0.0794;-0.5053;-0.6837
175,3,935.2384,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.6041;-0.7662;0.3777;-0.6890;0.4691;-0.0794;-0.5053;-0.6837
176,3,1000.3200,1055.9572,-0.0236;0.0299;0.4654;1.0000;-0.7794;-0.5838;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
177,3,1049.4400,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.7486
178,3,997.0528,1055.9572,-0.2111;0.0726;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
179,3,802.6222,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.4494;-0.5053;-0.6837
180,3,1029.8048,1055.9572,-0.2111;0.0299;0.5294;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
181,3,894.2380,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.8254;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
182,3,357.0806,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;1.0000;-0.0794;-0.5053;-0.6837
183,3,1013.6921,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7419;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
184,3,878.0142,1055.9572,-0.2111;-0.2053;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
185,3,782.7603,1055.9572,-0.1684;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.1572;-0.6837
186,3,637.7752,1055.9572,-0.5342;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.7829
187,3,251.3168,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;0.4328;-0.5053;-0.6837
188,3,614.0261,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.9749;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
189,3,1009.5221,1055.9572,-0.2111;-0.0209;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
190,3,929.0774,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0939;-0.5053;-0.6837
191,3,825.9123,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.9697;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
192,3,268.9013,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;0.2374;-0.5053;-0.6837
193,3,1032.8214,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.4533
194,3,734.4582,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.9271;-0.7662;0.3777;-0.5105;0.4691;-0.3707;-0.5053;-0.6837
195,3,855.8003,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.5453;-0.5774;0.4691;-0.0794;-0.5053;-0.6837
196,3,130.4217,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;0.6892;-0.5053;-0.6837
197,3,833.1887,1055.9572,-0.2107;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.6355;0.4691;-0.0794;-0.5053;-0.6837
198,3,1055.9572,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
199,3,878.5020,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4604;-0.0794;-0.5053;-0.6837
200,3,496.7010,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.0869;0.4691;-0.0402;-0.5053;-0.6837
201,3,792.4890,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.0220;-0.6837
202,3,779.2909,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.2931;-0.0794;-0.5053;-0.6837
203,3,133.4854,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.6576;0.4172;-0.5053;-0.6837
204,3,1026.8396,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.6676;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-1.0000
205,3,800.9042,1055.9572,-0.2111;0.0299;0.0210;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
206,3,789.4167,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5977;0.4691;-0.0794;-0.5053;-0.6837
207,3,1013.6003,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.5983;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
208,3,830.9846,1055.9572,-0.4783;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
209,3,724.0983,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.7868;-0.5105;0.2324;-0.0794;-0.5053;-0.6837
210,3,1055.9572,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.5053;-0.6837
211,3,1046.2333,1055.9572,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.5105;0.4691;-0.0794;-0.6120;-0.6837
212,3,1129.0059,1129.0059,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.3106;0.4691;-0.0794;-0.5053;-0.6837
213,3,357.8381,1129.0059,-0.2111;-0.2039;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.3106;0.4691;0.1589;-0.5053;-0.6837
214,3,1076.7522,1129.0059,0.0516;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.3106;0.4691;-0.0794;-0.5053;-0.6837
215,3,788.3320,1129.0059,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.3106;0.2441;-0.0794;-0.5053;-0.6837
216,3,992.3244,1129.0059,-0.2111;-0.0390;0.4654;0.7659;-0.7794;-0.7662;0.3777;-0.3106;0.4691;-0.0794;-0.5053;-0.6837
217,3,1091.0729,1129.0059,-0.2111;0.1366;0.4654;1.0000;-0.7794;-0.7662;0.3777;-0.3106;0.4691;-0.0794;-0.5722;-0.6837
218,3,1179.6126,1179.6126,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.0032;-0.3106;0.6709;-0.0794;-0.5053;-0.6837
219,3,1179.6126,1179.6126,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.0032;-0.3106;0.6709;-0.0794;-0.5053;-0.6837
220,3,932.1134,1179.6126,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.0032;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
221,3,1280.8149,1280.8149,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;-0.0794;-0.5053;-0.6837
222,3,791.5427,1280.8149,-0.2111;0.0299;0.4654;0.7549;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;-0.3830;-0.5053;-0.6837
223,3,1409.1759,1409.1759,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
224,3,1383.3862,1409.1759,-0.2111;0.0299;0.4654;0.8819;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
225,3,1099.7216,1409.1759,-0.2111;-0.4548;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
226,3,932.1114,1409.1759,-0.2111;0.0299;0.3793;1.0000;-0.7794;-0.7662;0.0625;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
227,3,806.7772,1409.1759,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.1304;-0.3106;0.6913;-0.0794;-0.5053;-1.0000
228,3,1219.9109,1409.1759,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;-0.0794;-0.4457;-0.9364
229,3,1079.3653,1409.1759,-0.2111;0.0299;0.4654;1.0000;-0.7794;-1.0000;-0.2524;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
230,3,1116.1662,1409.1759,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.5918;-0.0794;-0.5053;-1.0000
231,3,1178.6230,1409.1759,-0.5974;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.6709;0.0258;-0.5053;-1.0000
232,3,1289.8546,1409.1759,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.2524;-0.3106;0.7615;-0.0794;-0.5053;-1.0000
233,3,698.1384,1409.1759,-0.2111;0.0299;0.9590;1.0000;-0.7794;-0.3923;-0.2524;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
234,3,1446.3339,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
235,3,779.9905,1446.3339,-0.2111;-0.8485;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
236,3,914.5065,1446.3339,-0.2111;0.0299;0.4654;0.4096;-0.7794;-0.7662;-0.4079;-0.3106;0.4819;-0.0794;-0.5053;-1.0000
237,3,872.8593,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.3106;0.3479;-0.0794;-0.5053;-1.0000
238,3,1095.9966,1446.3339,-0.2111;0.3516;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
239,3,972.9598,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.0552;0.6709;-0.0794;-0.5053;-1.0000
240,3,1291.1272,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.6860;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
241,3,1229.1452,1446.3339,-0.2111;0.2661;0.4654;0.9844;-0.7794;-0.7662;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
242,3,1163.4813,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.6431;-0.7662;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
243,3,843.0890,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.7143;-0.3106;0.6709;-0.2639;-0.5053;-1.0000
244,3,1398.4716,1446.3339,-0.2111;0.0299;0.4654;1.0000;-0.6049;-0.7983;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
245,3,1105.9651,1446.3339,-0.2111;0.0299;0.3412;1.0000;-0.7794;-0.7662;-0.4079;-0.3106;0.6709;-0.0794;-0.5053;-1.0000
246,3,1448.4422,1448.4422,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;-0.1986;-0.5053;-1.0000
247,3,1421.8981,1448.4422,-0.2111;-0.0863;0.4654;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;-0.1986;-0.5053;-1.0000
248,3,1083.5298,1448.4422,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;-0.4079;0.1167;0.6709;-0.1986;-0.5053;-1.0000
249,3,921.2275,1448.4422,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.5596;-0.4079;-0.4821;0.6709;-0.1986;-0.5053;-1.0000
250,3,887.6811,1448.4422,-0.2111;0.0299;0.4654;1.0000;-0.7794;-0.7662;0.0553;-0.2086;0.7505;-0.1986;-0.5053;-1.0000
251,3,1635.0932,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
252,3,1444.3578,1635.0932,-0.2111;0.0299;0.6857;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.2036;-1.0000
253,3,1216.5695,1635.0932,-0.0794;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.1658;0.6709;0.2234;-0.5053;-1.0000
254,3,1420.7293,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.3116;-0.2086;0.6709;0.2234;-0.5053;-1.0000
255,3,681.0083,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.2079;-0.7664;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
256,3,1498.1316,1635.0932,0.0052;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-0.5703
257,3,1290.2828,1635.0932,-0.2111;0.0299;0.9496;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.4644;-0.5053;-1.0000
258,3,1397.4237,1635.0932,-0.2111;0.0299;0.0733;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.3187;-0.5053;-1.0000
259,3,1316.7829,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.3790;0.2234;-0.5053;-1.0000
260,3,1556.5904,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.9737;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
261,3,1466.4838,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-1.0000;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
262,3,1503.4420,1635.0932,-0.2431;0.0299;0.6708;0.8297;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
263,3,779.3387,1635.0932,-0.2111;0.0299;0.6708;0.5787;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.7943;-0.5053;-1.0000
264,3,1635.0932,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
265,3,1454.9115,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.3774;-0.2086;0.6709;0.2234;-0.5053;-1.0000
266,3,1158.2420,1635.0932,-0.2111;0.0299;0.4073;1.0000;-0.9527;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
267,3,1635.0932,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
268,3,1241.9382,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.6811;-1.0000
269,3,1635.0932,1635.0932,-0.2111;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
270,3,1648.6741,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
271,3,1304.9971,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.9588;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
272,3,1521.3503,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.7794;-1.0000;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-0.7588
273,3,1107.3296,1648.6741,-0.1602;0.0299;0.7197;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.5195;-0.5053;-1.0000
274,3,987.7432,1648.6741,-0.1602;0.0299;0.6708;0.9525;-0.7794;-0.7662;-0.4079;0.4234;0.6709;0.2234;-0.5053;-1.0000
275,3,946.3122,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.4101;-0.7662;-0.4079;-0.2086;0.8325;0.2234;-0.5053;-1.0000
276,3,1282.1843,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2261;0.5059;0.2234;-0.5053;-1.0000
277,3,1011.9566,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.4453;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
278,3,1582.0683,1648.6741,-0.1643;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
279,3,970.5270,1648.6741,-0.0995;0.0299;0.7948;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
280,3,1220.9251,1648.6741,-0.1602;0.0299;0.8806;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
281,3,1297.2646,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7602;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-0.3864
282,3,1420.3616,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.7794;-1.0000;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
283,3,1396.7048,1648.6741,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.3294;-0.2086;0.6709;0.2234;-0.9403;-1.0000
284,3,1535.6730,1648.6741,-0.1602;0.0299;0.5906;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
285,3,1272.4163,1648.6741,-0.1521;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
286,3,1460.7116,1648.6741,-0.1602;0.2285;0.6708;0.8426;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
287,3,1558.9467,1648.6741,-0.1602;0.0299;1.0000;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2234;-0.5053;-1.0000
288,3,1065.0216,1648.6741,-0.1602;0.0299;0.4504;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.2878;0.2234;-0.5053;-1.0000
289,3,1698.6649,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
290,3,1162.2097,1698.6649,0.4782;0.0299;0.4624;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
291,3,1017.9686,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.6151;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
292,3,1670.6053,1698.6649,-0.1602;-0.1065;0.6708;1.0000;-0.7794;-1.0000;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
293,3,1580.3790,1698.6649,-0.1602;0.1787;0.6708;1.0000;-0.7176;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
294,3,1449.7765,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.2349;-0.2086;0.6709;0.2895;-0.5053;-1.0000
295,3,733.1634,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.6299;0.6709;0.2895;-0.5053;-1.0000
296,3,1626.1754,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4754;-0.2086;0.6709;0.2895;-0.5171;-1.0000
297,3,878.0874,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.9081;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
298,3,1698.6649,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
299,3,1177.7357,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.5840;0.2895;-0.5053;-1.0000
300,3,485.2154,1698.6649,-0.1602;0.1834;0.6708;1.0000;-0.0406;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
301,3,1081.2953,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.3189;0.4649;0.2895;-0.5053;-1.0000
302,3,1422.0545,1698.6649,-0.1602;0.0299;0.6708;1.0000;-0.7794;-0.4085;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
303,3,1640.9337,1698.6649,-0.1602;0.0299;0.3658;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
304,3,1596.4414,1698.6649,-0.1654;0.0410;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
305,3,678.3207,1698.6649,-0.1602;-0.0342;0.6708;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;-0.0425;0.2895;-0.5053;-1.0000
306,3,1718.1054,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
307,3,1380.7111,1718.1054,0.2323;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
308,3,1124.4787,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5537;-1.0000
309,3,1380.9315,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;-0.2129;-0.5053;-1.0000
310,3,1319.5689,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7022;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
311,3,1642.3545,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.7199;-0.2086;0.6709;0.2895;-0.5053;-1.0000
312,3,1629.8005,1718.1054,-0.1602;0.0299;0.9550;0.9400;-0.7794;-0.7963;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
313,3,1618.6457,1718.1054,-0.1602;0.0299;0.6043;0.9148;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
314,3,1101.7627,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.5020;-0.5053;-1.0000
315,3,1440.3902,1718.1054,0.0780;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.3095;0.6709;0.2895;-0.5053;-1.0000
316,3,1476.0241,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.5541;-0.4079;-0.2086;0.6217;0.2895;-0.5053;-1.0000
317,3,960.8999,1718.1054,-0.1602;0.0299;0.6043;1.0000;-0.7794;-0.7662;-0.4079;-0.6364;0.6709;0.2895;-0.5053;-1.0000
318,3,1572.9178,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7408;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-0.6552
319,3,1301.9474,1718.1054,-0.3528;0.4279;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
320,3,1579.9619,1718.1054,-0.1602;0.0299;0.8656;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.5053;-1.0000
321,3,1213.1520,1718.1054,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.4552;-0.5053;-1.0000
322,3,1766.8291,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
323,3,1673.2864,1766.8291,-0.1602;0.0327;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
324,3,1584.2132,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.0394;-1.0000
325,3,1031.7728,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.6728;-0.2086;0.2631;0.2895;-0.3551;-1.0000
326,3,1180.4435,1766.8291,-0.2364;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.5216;0.6709;0.2895;-0.3551;-1.0000
327,3,795.5471,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;0.2691;0.6217;0.2895;-0.3551;-1.0000
328,3,1720.6758,1766.8291,-0.1602;-0.0884;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
329,3,1652.8233,1766.8291,-0.1602;0.4026;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
330,3,1703.8140,1766.8291,-0.1602;0.0299;0.6043;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
331,3,1565.1627,1766.8291,-0.1602;0.0299;0.6043;1.0000;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.4449;-1.0000
332,3,896.1578,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;0.2120;0.6709;0.2895;-0.3551;-1.0000
333,3,1717.6724,1766.8291,0.2492;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
334,3,1677.3403,1766.8291,-0.1602;0.0299;0.4533;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
335,3,851.3060,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.3793;-0.7662;-0.4079;-0.2086;0.6709;0.2895;-0.3551;-1.0000
336,3,1451.1869,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.7522;0.2895;-0.3551;-1.0000
337,3,1422.0428,1766.8291,-0.1602;0.0299;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.2086;0.5865;0.2895;-0.3551;-1.0000
338,3,1331.2155,1766.8291,-0.1602;-0.1165;0.6043;0.9400;-0.7794;-0.7662;-0.4079;-0.0954;0.6709;0.2895;-0.3551;-1.0000
